# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
2,HOMLAW,82.859,86.958,96.010,95.544,3.000,295
2,HONQOS,111.443,109.841,108.250,105.391,2.360,110
2,HONQUY,116.805,111.747,105.145,108.441,3.550,110
2,HOPGIE,113.986,118.896,80.282,112.255,3.200,293
2,HOWHUW,119.898,110.297,102.976,108.424,4.060,295
2,HOXSUJ,110.636,109.741,106.972,120.376,4.040,291
2,HUBVOQ,118.440,108.165,109.008,105.706,2.070,120
2,HUBVOQ,123.496,105.569,105.354,103.855,2.070,120
2,HUCGES,90.075,89.407,90.284,89.213,4.150,296
2,HUFFOD,113.176,114.620,113.176,107.459,3.830,173
2,HUGKEB,81.674,81.659,99.929,98.915,4.210,100
2,HUPQUG,83.164,92.562,90.219,93.366,3.580,100
2,HUSFUW,82.592,119.177,81.853,119.272,3.730,100
2,HUSGAD,82.247,135.434,81.838,125.171,3.690,110
2,HUSGEH,82.889,129.352,82.109,115.130,3.590,100
2,HUSGIL,81.944,119.176,81.968,128.571,3.820,110
2,HUYXIJ,97.601,103.492,112.252,126.436,2.270,90
2,HXYSAC,85.955,93.824,87.194,94.246,4.600,295
2,HXYSAC,86.037,92.993,86.898,94.314,4.600,295
2,IAMBUG,-999,-999,-999,-999,-999,-999
2,IAPSCO,100.334,114.970,100.334,115.476,4.000,295
2,IBIQEQ,110.227,110.227,108.705,108.705,4.250,293
2,ICAWEQ,115.503,107.567,114.374,101.807,2.870,100
2,ICAWOA,115.006,109.637,115.373,112.875,2.800,100
2,ICAXER,114.400,107.294,113.309,101.963,2.410,100
2,ICAXUH,118.297,100.276,97.363,114.002,3.580,100
2,ICAYES,116.386,109.928,113.829,104.237,2.240,100
2,ICEBOJ,110.628,96.217,100.379,105.382,4.230,100
2,ICECAW,122.314,105.102,124.392,101.605,4.870,100
2,ICIDIH,98.914,81.339,81.577,98.162,4.610,293
2,ICIDIH01,98.925,81.370,81.579,98.123,4.970,198
2,ICIRUI,72.649,107.351,72.649,107.351,3.340,173
2,ICONAS,121.576,109.969,113.183,117.538,3.030,100
2,ICOZEF,123.033,92.475,92.484,123.721,4.100,213
2,IDABAS,82.358,95.825,81.649,100.279,2.820,173
2,IDABUK,103.040,114.430,101.369,117.496,4.990,163
2,IDAQIN,108.272,116.633,109.096,110.168,4.220,193
2,IDEFUT,109.825,100.732,103.921,111.015,4.590,100
2,IDINUG,111.686,106.027,101.785,117.169,3.500,293
2,IDOCEK01,115.825,114.812,83.326,117.604,4.220,120
2,IDOPIB,117.433,102.966,81.185,108.953,3.010,105
2,IDUFUJ,91.900,88.301,92.080,87.692,4.210,295
2,IDUPIH,104.907,117.110,104.907,114.523,3.620,293
2,IFEVEW,84.630,83.115,97.502,97.793,3.430,120
2,IFIWEC,122.939,94.001,90.997,131.326,3.170,173
2,IFIWUS,119.657,91.075,91.772,126.901,3.170,173
2,IFOQEZ,104.729,98.713,114.569,113.046,4.790,293
2,IHETAS,121.889,105.863,93.712,111.713,2.340,100
2,IJOPED,120.607,114.842,84.936,108.931,4.750,295
2,ILELUI,93.860,86.261,85.800,94.312,3.720,173
2,ILEMAP,94.546,85.567,85.251,94.508,3.260,100
2,ILEMET,95.245,84.755,84.755,95.245,3.280,133
2,ILENEU,86.146,85.763,94.223,94.029,4.860,104
2,ILIJUK,113.505,114.046,96.559,112.988,3.690,173
2,IMIFIU,84.509,95.491,84.509,95.491,3.670,200
2,IPEMEX,111.995,111.403,109.455,111.211,4.450,293
2,IPIFUJ,116.116,109.163,107.700,105.308,4.910,293
2,IPIFUJ,118.085,108.628,109.166,104.342,4.910,293
2,IQOFAX,96.989,84.270,84.537,99.033,3.240,120
2,IQOSUC,121.695,102.046,94.881,103.808,4.790,244
