Date_Time,Rainfall,Solar_Energy,Relative_Humidity,Temperature,ObjectId
2016/12/21 00:00:00+00,0,0,,,377
2016/12/30 15:00:00+00,0,62.2,,,378
2017/01/01 18:00:00+00,0,0,,,379
2017/01/05 18:00:00+00,0,0,,,380
2017/01/06 02:00:00+00,0,0,,,381
2017/01/06 07:00:00+00,0,0.1,,,382
2017/01/10 22:00:00+00,0,0,,,383
2017/01/19 16:00:00+00,0,53.6,,,384
2017/01/20 09:00:00+00,0,49.7,,,385
2015/02/16 20:00:00+00,0,0,88.4,5.4,386
2015/02/19 05:00:00+00,0,0,85.5,7.5,387
2015/02/22 01:00:00+00,0,0,94.1,2.4,388
2015/02/22 07:00:00+00,0,0.6,100,0.9,389
2015/02/23 07:00:00+00,0.4,0.3,88.2,5,390
2015/02/25 03:00:00+00,0,0.3,97.9,8.2,391
2015/02/28 23:00:00+00,0,0.5,91.2,10.8,392
2015/03/01 18:00:00+00,0,7.5,85.9,7.7,393
2015/03/07 10:00:00+00,0,248.8,80.4,11.6,394
2015/03/13 16:00:00+00,0,114.8,95.7,7.2,395
2015/03/17 04:00:00+00,0,0,97.8,5.7,396
2015/03/23 15:00:00+00,0,233.1,77.3,10.9,397
2015/03/24 09:00:00+00,0,357.9,71.4,10.4,398
2015/04/03 01:00:00+00,0.4,0,100,9.5,399
2015/04/05 04:00:00+00,0,0,88.6,8.5,400
2012/10/31 03:00:00+00,0,0,75.8,9.1,401
2012/11/02 22:00:00+00,0,0,90.4,5.8,402
2007/06/28 08:00:00+00,0,66.8,75.8,14.5,403
2012/11/11 07:00:00+00,0,0,100,2.9,404
2012/11/12 20:00:00+00,0,0,99.3,12.6,405
2012/11/18 19:00:00+00,0,0,88.8,6.6,406
2011/04/03 13:00:00+00,0.4,137.5,82.5,12.2,407
2012/11/20 16:00:00+00,1,7.5,99.5,12,408
2016/02/19 19:00:00+00,0,0,,,409
2007/07/10 08:00:00+00,0,257.1,72.4,17,410
2011/10/25 21:00:00+00,0,0,99,8,411
2017/02/20 14:00:00+00,0,116.1,,,412
2016/02/20 09:00:00+00,0,66.3,,,413
2011/04/04 13:00:00+00,0,553.8,56.2,14.5,414
2011/11/02 09:00:00+00,0,176,87.5,13.2,415
2006/05/24 13:00:00+00,0,614.9,57.7,14.4,416
2017/02/25 09:00:00+00,0.2,36.7,,,417
2007/07/02 15:00:00+00,0,491.6,69.3,18.3,418
2011/11/03 07:00:00+00,0,0,96.8,14,419
2006/05/25 05:00:00+00,0,43.8,94.5,10.8,420
2017/04/28 04:00:00+00,0,5,,,421
2007/07/07 17:00:00+00,0,359.5,58.6,18.1,422
2011/11/10 12:00:00+00,0,88.5,93.7,14.7,423
2006/05/24 15:00:00+00,0.8,198,82,11.6,424
2017/04/29 12:00:00+00,0,204.2,,,425
2011/04/06 19:00:00+00,0,0,67.8,14.1,426
2011/11/18 05:00:00+00,0,0,86.7,13.4,427
2006/05/24 00:00:00+00,0.4,-1.4,83.3,9.3,428
2017/05/03 22:00:00+00,0,0,,,429
2007/07/03 19:00:00+00,0,33.2,72.1,15.8,430
2011/11/18 12:00:00+00,0,82.6,84.1,14.7,431
2006/06/02 07:00:00+00,0,464.5,55.4,17,432
2017/05/04 05:00:00+00,0,51,,,433
2011/04/06 23:00:00+00,0,0,87,9.7,434
2011/11/20 06:00:00+00,0,0.1,100,10.5,435
2006/06/01 22:00:00+00,0,-2.3,64.2,15.3,436
2017/05/08 16:00:00+00,0,346.1,,,437
2007/07/25 06:00:00+00,0,68,82.6,15.7,438
2011/11/20 22:00:00+00,0,0,95.7,11.5,439
2006/05/27 18:00:00+00,0,43.5,93,13.2,440
2017/05/11 19:00:00+00,0,4.6,,,441
2011/04/12 17:00:00+00,0,55.3,67.3,10.8,442
2011/11/22 11:00:00+00,0,144,98.9,14,443
2006/05/26 01:00:00+00,0.2,-0.6,92.5,12.5,444
2017/05/14 19:00:00+00,0,6.8,,,445
2007/07/27 12:00:00+00,0,609.6,56.4,21.2,446
2011/11/26 13:00:00+00,0,90.3,81.9,12.7,447
2006/06/13 05:00:00+00,0,38.2,80.7,14.6,448
2017/05/17 12:00:00+00,0,71,,,449
2011/04/20 20:00:00+00,0,0,66.6,17.9,450
2011/11/28 19:00:00+00,0.2,0,98.2,12.9,451
2005/06/15 20:00:00+00,0,1.9,80.6,15.7,452
2017/05/17 13:00:00+00,0.2,57.6,,,453
2007/07/27 22:00:00+00,0,-0.9,84.3,15,454
2011/12/02 14:00:00+00,0,65.6,90,7.7,455
2005/06/12 12:00:00+00,0,400.8,63.2,16.7,456
2017/05/18 23:00:00+00,0,0,,,457
2011/04/21 06:00:00+00,0,227.3,73.3,15.8,458
2011/12/03 22:00:00+00,0,0,88.6,9.5,459
2005/06/10 21:00:00+00,0,-2.8,66.3,15.2,460
2017/05/19 00:00:00+00,0.2,0,,,461
2007/07/29 03:00:00+00,0,-0.2,95,12.4,462
2016/07/08 13:00:00+00,0,395.9,,,463
2005/06/09 19:00:00+00,0,32.2,52.6,20.1,464
2017/05/19 03:00:00+00,0,0.1,,,465
2011/04/27 23:00:00+00,0,0,64.8,9.3,466
2011/12/11 19:00:00+00,0.2,0,98.5,8.1,467
2005/06/06 01:00:00+00,0.2,-0.4,93.8,13.9,468
2017/05/25 23:00:00+00,0,0,,,469
2007/08/04 03:00:00+00,0,-0.5,87.7,17.4,470
2016/07/19 10:00:00+00,0,615.6,,,471
2006/10/12 10:00:00+00,0,230.1,69.2,16.4,472
2015/12/01 19:00:00+00,0,0,,,473
2011/04/29 10:00:00+00,0,507.8,68.9,15.2,474
2011/12/18 00:00:00+00,0,0,86,3.4,475
2005/07/09 08:00:00+00,0,548.2,64.7,19.6,476
2015/12/03 00:00:00+00,1,0,,,477
2007/09/12 15:00:00+00,0,174.2,60.1,20.8,478
